timing,price,avgPrice,tradingVolume,ratio,tradingAmount
[930, 1.5, 1.5, 1950, -3.23, 2925]
[931, 1.55, 1.53, 5010, 0.0, 7665]
[932, 1.62, 1.57, 25400, 4.52, 39878]
[933, 1.65, 1.6, 20280, 6.45, 32448]
[934, 1.61, 1.6, 14630, 3.87, 23408]
[935, 1.63, 1.6, 5540, 5.16, 8864]
[936, 1.67, 1.61, 14660, 7.74, 23602]
[937, 1.67, 1.62, 11340, 7.74, 18370]
[938, 1.7, 1.62, 7750, 9.68, 12555]
[939, 1.69, 1.63, 15480, 9.03, 25232]
[940, 1.69, 1.64, 7970, 9.03, 13070]
[941, 1.67, 1.64, 6460, 7.74, 10594]
[942, 1.68, 1.64, 3400, 8.39, 5576]
[943, 1.68, 1.64, 3790, 8.39, 6215]
[944, 1.65, 1.64, 5890, 6.45, 9659]
[945, 1.63, 1.64, 6360, 5.16, 10430]
[946, 1.65, 1.64, 2670, 6.45, 4378]
[947, 1.63, 1.64, 4940, 5.16, 8101]
[948, 1.61, 1.64, 2650, 3.87, 4346]
[949, 1.63, 1.64, 5630, 5.16, 9233]
[950, 1.65, 1.64, 5990, 6.45, 9823]
[951, 1.67, 1.64, 13870, 7.74, 22746]
[952, 1.68, 1.64, 5300, 8.39, 8692]
[953, 1.68, 1.64, 4870, 8.39, 7986]
[954, 1.69, 1.65, 10370, 9.03, 17110]
[955, 1.68, 1.65, 8420, 8.39, 13893]
[956, 1.68, 1.65, 2710, 8.39, 4471]
[957, 1.67, 1.65, 1100, 7.74, 1815]
[958, 1.65, 1.65, 4750, 6.45, 7837]
[959, 1.67, 1.65, 700, 7.74, 1155]
[1000, 1.67, 1.65, 6210, 7.74, 10246]
[1001, 1.67, 1.65, 460, 7.74, 759]
[1002, 1.67, 1.65, 1430, 7.74, 2359]
[1003, 1.65, 1.65, 20650, 6.45, 34072]
[1004, 1.64, 1.65, 1870, 5.81, 3085]
[1005, 1.63, 1.65, 4040, 5.16, 6666]
[1006, 1.63, 1.65, 2010, 5.16, 3316]
[1007, 1.64, 1.65, 3380, 5.81, 5577]
[1008, 1.63, 1.65, 2950, 5.16, 4867]
[1009, 1.64, 1.65, 6390, 5.81, 10543]
[1010, 1.65, 1.65, 4800, 6.45, 7920]
[1011, 1.65, 1.65, 4080, 6.45, 6732]
[1012, 1.65, 1.65, 1000, 6.45, 1650]
[1013, 1.65, 1.65, 4800, 6.45, 7920]
[1014, 1.64, 1.65, 8570, 5.81, 14140]
[1015, 1.66, 1.65, 4480, 7.1, 7392]
[1016, 1.64, 1.65, 4000, 5.81, 6600]
[1017, 1.64, 1.65, 3610, 5.81, 5956]
[1018, 1.66, 1.65, 1130, 7.1, 1864]
[1019, 1.68, 1.65, 7430, 8.39, 12259]
[1020, 1.67, 1.65, 6440, 7.74, 10626]
[1021, 1.66, 1.65, 3410, 7.1, 5626]
[1022, 1.67, 1.65, 3880, 7.74, 6402]
[1023, 1.66, 1.65, 260, 7.1, 429]
[1024, 1.67, 1.65, 1210, 7.74, 1996]
[1025, 1.66, 1.65, 4140, 7.1, 6831]
[1026, 1.66, 1.65, 190, 7.1, 313]
[1027, 1.66, 1.65, 120, 7.1, 198]
[1028, 1.65, 1.65, 160, 6.45, 264]
[1029, 1.64, 1.65, 710, 5.81, 1171]
[1030, 1.62, 1.65, 7130, 4.52, 11764]
[1031, 1.62, 1.65, 1570, 4.52, 2590]
[1032, 1.6, 1.65, 17960, 3.23, 29634]
[1033, 1.61, 1.65, 3870, 3.87, 6385]
[1034, 1.61, 1.65, 1000, 3.87, 1650]
[1035, 1.61, 1.65, 2400, 3.87, 3960]
[1036, 1.61, 1.65, 960, 3.87, 1584]
[1037, 1.6, 1.65, 7400, 3.23, 12210]
[1038, 1.59, 1.65, 6290, 2.58, 10378]
[1039, 1.58, 1.64, 17650, 1.94, 28946]
[1040, 1.59, 1.64, 2600, 2.58, 4264]
[1041, 1.59, 1.64, 1230, 2.58, 2017]
[1042, 1.58, 1.64, 400, 1.94, 656]
[1043, 1.57, 1.64, 550, 1.29, 902]
[1044, 1.58, 1.64, 2870, 1.94, 4706]
[1045, 1.58, 1.64, 0, 1.94, 0]
[1046, 1.57, 1.64, 1070, 1.29, 1754]
[1047, 1.56, 1.64, 2210, 0.65, 3624]
[1048, 1.57, 1.64, 2020, 1.29, 3312]
[1049, 1.56, 1.64, 990, 0.65, 1623]
[1050, 1.58, 1.64, 1320, 1.94, 2164]
[1051, 1.57, 1.64, 880, 1.29, 1443]
[1052, 1.58, 1.64, 3210, 1.94, 5264]
[1053, 1.58, 1.64, 3010, 1.94, 4936]
[1054, 1.58, 1.64, 550, 1.94, 902]
[1055, 1.58, 1.64, 80, 1.94, 131]
[1056, 1.59, 1.64, 2570, 2.58, 4214]
[1057, 1.58, 1.64, 760, 1.94, 1246]
[1058, 1.57, 1.64, 210, 1.29, 344]
[1059, 1.57, 1.64, 1720, 1.29, 2820]
[1100, 1.56, 1.64, 900, 0.65, 1476]
[1101, 1.57, 1.64, 690, 1.29, 1131]
[1102, 1.56, 1.64, 300, 0.65, 491]
[1103, 1.57, 1.64, 700, 1.29, 1148]
[1104, 1.56, 1.64, 60, 0.65, 98]
[1105, 1.56, 1.64, 580, 0.65, 951]
[1106, 1.57, 1.64, 1350, 1.29, 2214]
[1107, 1.57, 1.64, 180, 1.29, 295]
[1108, 1.58, 1.64, 420, 1.94, 688]
[1109, 1.59, 1.64, 1730, 2.58, 2837]
[1110, 1.59, 1.64, 730, 2.58, 1197]
[1111, 1.58, 1.64, 1240, 1.94, 2033]
[1112, 1.58, 1.64, 970, 1.94, 1590]
[1113, 1.56, 1.64, 4660, 0.65, 7642]
[1114, 1.56, 1.64, 1680, 0.65, 2755]
[1115, 1.56, 1.64, 160, 0.65, 262]
[1116, 1.56, 1.64, 590, 0.65, 967]
[1117, 1.57, 1.64, 240, 1.29, 393]
[1118, 1.57, 1.64, 100, 1.29, 164]
[1119, 1.56, 1.64, 2750, 0.65, 4510]
[1120, 1.55, 1.64, 3440, 0.0, 5641]
[1121, 1.54, 1.63, 5720, -0.65, 9323]
[1122, 1.55, 1.63, 10, 0.0, 16]
[1123, 1.56, 1.63, 230, 0.65, 374]
[1124, 1.55, 1.63, 350, 0.0, 570]
[1125, 1.55, 1.63, 50, 0.0, 81]
[1126, 1.55, 1.63, 380, 0.0, 619]
[1127, 1.55, 1.63, 310, 0.0, 505]
[1128, 1.55, 1.63, 140, 0.0, 228]
[1129, 1.56, 1.63, 750, 0.65, 1222]
[1130, 1.55, 1.63, 1200, 0.0, 1955]
[1131, 1.56, 1.63, 470, 0.65, 766]
[1132, 1.56, 1.63, 60, 0.65, 97]
[1133, 1.56, 1.63, 40, 0.65, 65]
[1134, 1.56, 1.63, 80, 0.65, 130]
[1135, 1.56, 1.63, 960, 0.65, 1564]
