amount,code,mktCap,remark,industry,priceLimit,priceHighLimit,qrr,price,daily,name,turnoverRate,id,ffCap,limitStatistic,isNewHigh
[4285567, 001256, 3.3884743780800004E9, 近期多次涨停, 专用设备, 10.0, 23.76, 0.25178787112236023, 23.76, 2022-12-07, 炜冈科技, 0.5058942437171936, 4295, 8.4712716E8, {"ct":3,"days":3}, false]
[14564466, 603365, 3.6453789E9, 60日新高, 纺织服装, 1.560178279876709, 14.81, 0.8506502509117126, 13.67, 2022-12-07, 水星家纺, 0.4034229516983032, 4296, 3.6453789E9, {"ct":0,"days":0}, true]
[14802437, 603321, 2.27794E9, 60日新高, 专用设备, 0.8152173757553101, 8.1, 0.8168860673904419, 7.42, 2022-12-07, 梅轮电梯, 0.6502280235290527, 4297, 2.27794E9, {"ct":0,"days":0}, true]
[15680062, 601188, 4.05290601408E9, 60日新高, 铁路公路, 0.0, 3.39, 0.7093836069107056, 3.08, 2022-12-07, 龙江交通, 0.3864462971687317, 4298, 4.0529059986800003E9, {"ct":0,"days":0}, true]
[17093246, 603551, 3.64452698E9, 60日新高, 家电行业, 0.22246940433979034, 9.89, 0.6391202807426453, 9.01, 2022-12-07, 奥普家居, 1.4024598598480225, 4299, 1.2201913143899999E9, {"ct":0,"days":0}, true]
[24010445, 601518, 4.0241774576E9, 60日新高, 铁路公路, 0.6756756901741028, 3.26, 0.8640730977058411, 2.98, 2022-12-07, 吉林高速, 0.6004834175109863, 4300, 4.02417746058E9, {"ct":0,"days":0}, true]
[27649719, 600697, 2.233596573E9, 60日新高, 商业百货, 0.5010737180709839, 15.37, 1.0140571594238281, 14.04, 2022-12-07, 欧亚集团, 1.270398736000061, 4301, 2.1783904506E9, {"ct":0,"days":0}, true]
[30429751, 603059, 2.165E9, 60日新高, 美容护理, 3.7871525287628174, 22.95, 2.0657927989959717, 21.65, 2022-12-07, 倍加洁, 1.4250500202178955, 4302, 2.165E9, {"ct":0,"days":0}, true]
[33154126, 600676, 4.09340191712E9, 60日新高, 汽车零部, 1.0152283906936646, 4.33, 2.0993430614471436, 3.98, 2022-12-07, 交运股份, 0.8093989491462708, 4303, 4.09340191712E9, {"ct":0,"days":0}, true]
[34102388, 688323, 4.788E9, 60日新高, 塑料制品, -1.408450722694397, 32.38, 0.9784170985221863, 26.6, 2022-12-07, 瑞华泰, 1.2863837480545044, 4304, 2.5928504812000003E9, {"ct":0,"days":0}, true]
[34927905, 603711, 5.60257282112E9, 60日新高, 食品饮料, 2.8657617568969727, 14.59, 0.9935454726219177, 13.64, 2022-12-07, 香飘飘, 0.6298542618751526, 4305, 5.602572712E9, {"ct":0,"days":0}, true]
[36629324, 002574, 2.8776E9, 60日新高, 珠宝首饰, 2.059925079345703, 5.87, 1.1102503538131714, 5.45, 2022-12-07, 明牌珠宝, 1.278996229171753, 4306, 2.8776E9, {"ct":0,"days":0}, true]
[36805645, 600012, 1.21907835E10, 60日新高, 铁路公路, 0.6849315166473389, 8.03, 0.8409123420715332, 7.35, 2022-12-07, 皖通高速, 0.4298783540725708, 4307, 8.56716E9, {"ct":0,"days":0}, true]
[37931144, 600548, 1.95397020672E10, 60日新高, 铁路公路, 0.9009009003639221, 9.77, 1.1054303646087646, 8.96, 2022-12-07, 深高速, 0.29597780108451843, 4308, 1.2842102120960001E10, {"ct":0,"days":0}, true]
[42269901, 688456, 3.67993E9, 60日新高, 有色金属, 1.1972633600234985, 42.1, 0.6391653418540955, 35.5, 2022-12-07, 有研粉材, 1.8960462808609009, 4309, 2.233260625E9, {"ct":0,"days":0}, true]
[42695138, 300135, 2.635776E9, 60日新高, 化学制品, 2.142857313156128, 3.36, 0.9839351177215576, 2.86, 2022-12-07, 宝利国际, 2.1217880249023438, 4310, 2.0299402094399998E9, {"ct":0,"days":0}, true]
[43492023, 603839, 2.91674521296E9, 60日新高, 纺织服装, 3.1117398738861084, 7.78, 1.8421502113342285, 7.29, 2022-12-07, 安正时尚, 1.4997367858886719, 4311, 2.9167451838E9, {"ct":0,"days":0}, true]
[44464652, 300840, 2.4864E9, 60日新高, 纺织服装, 0.680272102355957, 12.35, 1.155226707458496, 10.36, 2022-12-07, 酷特智能, 2.795008659362793, 4312, 1.5986879946799998E9, {"ct":0,"days":0}, true]
[46364039, 603697, 3.8195891190400004E9, 60日新高, 食品饮料, 2.229562282562256, 13.32, 1.0882625579833984, 12.38, 2022-12-07, 有友食品, 1.2422330379486084, 4313, 3.78202012728E9, {"ct":0,"days":0}, true]
