amount,code,limitDays,mktCap,failTimes,industry,priceLimit,limitTimeFirst,limitFund,price,daily,limitTimeLast,name,turnoverRate,id,ffCap,limitStatistic,isRaise
[4285567, 001256, 3, 3.3884743780800004E9, 0, 专用设备, 10.0, 09:25, 496537216, 23.76, 2022-12-07, 09:25, 炜冈科技, 0.5058942437171936, 1924, 8.4712716E8, {"ct":3,"days":3}, true]
[52292585, 600693, 2, 4.479708136E9, 0, 商业百货, 10.04273509979248, 09:25:01, 101846915, 5.15, 2022-12-07, 09:25:01, 东百集团, 1.1686400175094604, 1925, 4.4746531638E9, {"ct":2,"days":2}, true]
[61583556, 688247, 1, 6.2832924E9, 0, 生物制品, 20.0, 09:25:02, 63780643, 13.86, 2022-12-07, 09:25:02, 宣泰医药, 10.861077308654785, 1926, 5.670114911999999E8, {"ct":1,"days":1}, true]
[84363273, 603676, 1, 6.83638722784E9, 0, 化学制药, 10.014005661010742, 13:44:54, 21307473, 15.71, 2022-12-07, 13:44:54, 卫信康, 1.3091245889663696, 1927, 6.74119242E9, {"ct":1,"days":1}, true]
[142485861, 002193, 4, 2.4784462585E9, 0, 纺织服装, 9.988385200500488, 09:30:06, 84714140, 9.47, 2022-12-07, 09:30:06, 如意集团, 5.8297119140625, 1928, 2.47101385211E9, {"ct":4,"days":4}, true]
[161905710, 605179, 1, 5.18894E9, 0, 食品饮料, 10.034013748168945, 13:18:16, 32902538, 12.94, 2022-12-07, 13:18:16, 一鸣食品, 21.6735782623291, 1929, 7.8934E8, {"ct":1,"days":1}, true]
[173024726, 603255, 1, 4.926254678969999E9, 0, 化学制品, 10.01490306854248, 10:07:04, 55807218, 36.91, 2022-12-07, 10:07:04, 鼎际得, 14.492385864257812, 1930, 1.2315636789699998E9, {"ct":1,"days":1}, true]
[177619111, 002336, 2, 4.1712E9, 1, 商业百货, 9.976798057556152, 09:30:24, 41398790, 9.48, 2022-12-07, 10:41:45, 人人乐, 5.069002151489258, 1931, 3.537699E9, {"ct":2,"days":2}, true]
[186168987, 600493, 1, 1.84416E9, 0, 纺织服装, 10.064934730529785, 09:37:12, 53126046, 6.78, 2022-12-07, 09:37:12, 凤竹纺织, 10.478453636169434, 1932, 1.84416E9, {"ct":2,"days":4}, true]
[193366177, 603889, 1, 4.2730823063999996E9, 2, 纺织服装, 10.013175010681152, 11:08:25, 19376759, 8.35, 2022-12-07, 11:12:40, 新澳股份, 4.648809432983398, 1933, 4.2730823397999997E9, {"ct":1,"days":1}, true]
