amount,code,limitDays,mktCap,failTimes,industry,priceLimit,limitTimeFirst,limitFund,price,daily,limitTimeLast,name,turnoverRate,ffCap,limitStatistic,isRaise
[5108424, 001338, 3, 5.960562284160001E9, 0, 酿酒行业, 10.0, 09:25, 282176112, 11.88, 2022-11-18, 09:25, 永顺泰, 0.3428148925304413, 1.4901405710400002E9, {"ct":3,"days":3}, true]
[21480306, 003004, 2, 2.6655288E9, 0, 计算机设, 9.996623039245605, 09:25, 138790150, 32.57, 2022-11-18, 09:25, 声迅股份, 1.9541935920715332, 1.0991902735E9, {"ct":2,"days":2}, true]
[66178363, 603331, 1, 2.44436745196E9, 0, 通用设备, 10.02405834197998, 09:57:40, 67620831, 13.72, 2022-11-18, 09:57:40, 百达精工, 2.8211300373077393, 2.42181177196E9, {"ct":1,"days":1}, true]
[97435435, 605398, 1, 2.69633981604E9, 0, 互联网服, 9.989806175231934, 09:33:39, 27697714, 32.37, 2022-11-18, 09:33:39, 新炬网络, 11.333186149597168, 8.7369287577E8, {"ct":1,"days":1}, true]
[97814992, 600769, 1, 3.089812128E9, 0, 工程建设, 10.013350486755371, 11:06:28, 6430372, 8.24, 2022-11-18, 11:06:28, 祥龙电业, 3.2706377506256104, 3.089812128E9, {"ct":1,"days":1}, true]
[106551442, 002072, 1, 3.0002688E9, 0, 软件开发, 9.97304630279541, 09:34:54, 74326265, 8.16, 2022-11-18, 09:34:54, 凯瑞德, 5.227487564086914, 2.102060064E9, {"ct":1,"days":1}, true]
[126661042, 002838, 1, 9.00203154752E9, 0, 塑料制品, 9.994539260864258, 09:38:36, 62366671, 20.14, 2022-11-18, 09:38:36, 道恩股份, 1.836605429649353, 7.0657591384800005E9, {"ct":1,"days":1}, true]
[127757778, 002323, 1, 8.31375213312E9, 0, 装修建材, 10.112359046936035, 10:23:39, 216067848, 3.92, 2022-11-18, 10:23:39, 雅博股份, 1.5900866985321045, 8.312324492639999E9, {"ct":1,"days":1}, true]
[139703609, 002095, 2, 4.1597712E9, 0, 互联网服, 10.026738166809082, 09:30:45, 71038545, 16.46, 2022-11-18, 09:30:45, 生 意 宝, 3.4102487564086914, 4.1431205109E9, {"ct":2,"days":2}, true]
[140663140, 605337, 1, 6.45045408E9, 0, 食品饮料, 9.984479904174805, 09:42:18, 29153412, 21.26, 2022-11-18, 09:42:18, 李子园, 5.651501655578613, 2.52410268432E9, {"ct":1,"days":1}, true]
[141212624, 600962, 1, 3.3195786E9, 0, 食品饮料, 9.991312026977539, 13:19:08, 18041550, 12.66, 2022-11-18, 13:19:08, 国投中鲁, 4.3744940757751465, 3.3195786E9, {"ct":1,"days":1}, true]
[146223404, 600222, 2, 4.5623959896E9, 0, 中药, 9.95850658416748, 09:25:02, 131862619, 7.95, 2022-11-18, 09:25:02, 太龙药业, 3.204969644546509, 4.56239594985E9, {"ct":3,"days":5}, true]
[165900799, 002551, 1, 4.84035020688E9, 0, 医疗器械, 9.980806350708008, 09:25, 121899418, 5.73, 2022-11-18, 09:25, 尚荣医疗, 4.7440385818481445, 3.4970373073500004E9, {"ct":3,"days":5}, true]
[171985908, 002883, 1, 1.88410102092E9, 2, 工程咨询, 10.03649616241455, 09:30:33, 9528015, 12.06, 2022-11-18, 14:48:15, 中设股份, 11.604870796203613, 1.49090915448E9, {"ct":1,"days":1}, true]
